CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
DE-706,Kelleys Pond,Kellys Pond,Yes - not on State List,31.62393668,Dennis,Monomoy,,30,deep,49%,High
FA-1027,Nobska Pond, ,No,8.88474529,Falmouth,Sagamore,,#N/A,#N/A,12%,Medium
MA-987,Flat Pond,Great Flat Pond,Yes - on State List,39.63867124,Mashpee,Sagamore,,6,shallow,24%,Medium
FA-933,Fresh Pond, ,No,7.601830932,Falmouth,Sagamore,,11.81088,shallow,27%,High
FA-1008,Palmers Pond, ,No,3.622280101,Falmouth,Sagamore,,#N/A,#N/A,51%,Very High
MA-992,Lily Pond,Salt Pond,No,1.139897063,Mashpee,Sagamore,,#N/A,#N/A,61%,Very High
MA-982,Beccas Pond, ,No,1.353883163,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
FA-832,Dam Pond, ,No,6.693697831,Falmouth,Sagamore,,6.5616,shallow,13%,Medium
YA-630,Labans Pond, ,No,5.415366219,Yarmouth,Sagamore,,20,deep,19%,Medium
BO-239,Bourne Pond, ,Yes - not on State List,10.89270032,Bourne,Plymouth-Carver,,#N/A,#N/A,56%,Very High
FA-996,Shivericks Pond, ,Yes - on State List,7.660038581,Falmouth,Sagamore,,#N/A,#N/A,46%,High
BA-802,Bog Pond, ,No,7.414511902,Barnstable,Sagamore,,3.2808,shallow,7%,Low
WE-62,Perch Pond, ,No,3.302313454,Wellfleet,Chequesset,,#N/A,#N/A,0%,Very Low
FA-990,Weeks Pond, ,No,4.694247524,Falmouth,Sagamore,,#N/A,#N/A,37%,High
BA-878,Crystal Lake, ,Yes - not on State List,11.01207033,Barnstable,Sagamore,,40.02576,deep,27%,High
BA-875,Parker Pond, ,Yes - not on State List,12.31543189,Barnstable,Sagamore,,31.1676,deep,38%,High
BA-764,West Pond, ,No,7.445987293,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
CH-582,Meadow View Pond, ,No,0.675619526,Chatham,Monomoy,,8.333232,shallow,42%,High
CH-341,Fox Pond, ,No,4.734509775,Chatham,Monomoy,,#N/A,#N/A,29%,High
BO-212,Queen Sewell Pond,Sewells Pond,Yes - not on State List,17.96699363,Bourne,Plymouth-Carver,333308.592,28,deep,46%,High
OR-122,Cedar Pond, ,Yes - on State List,16.14321444,Orleans,Nauset,166999.8472,14,deep,20%,Medium
WE-73,Hawes Pond, ,No,0.884039428,Wellfleet,Chequesset,,#N/A,#N/A,47%,High
PR-34,Shank Painter Pond, ,Yes - on State List,22.82965138,Provincetown,Pilgrim,,3,shallow,3%,Very Low
FA-988,Morse Pond, ,Yes - on State List,14.41631424,Falmouth,Sagamore,,#N/A,#N/A,18%,Medium
MA-960,Jim Pond,Fells Pond,Yes - not on State List,10.44681656,Mashpee,Sagamore,,65,deep,29%,High
MA-954,Witch Pond, ,No,1.128188613,Mashpee,Sagamore,,65,deep,1%,Very Low
FA-944,Bog Pond, ,No,3.115375988,Falmouth,Sagamore,,#N/A,#N/A,9%,Low
FA-941,Bournes Pond, ,Yes - on State List,11.21703447,Falmouth,Sagamore,,18,deep,8%,Low
BA-874,Neck Pond, ,Yes - not on State List,14.21782565,Barnstable,Sagamore,,37.7292,deep,35%,High
DE-714,The Plashes, ,No,2.351605892,Dennis,Monomoy,,#N/A,#N/A,1%,Very Low
DE-705,Great Pond Plash, ,No,1.815468774,Dennis,Monomoy,,#N/A,#N/A,2%,Very Low
OR-256,Meadow Bog Pond,Quanset Pond Bog,No,2.543706854,Orleans,Nauset,,6.430368,shallow,27%,High
WE-69,Squires Pond, ,No,1.209458317,Wellfleet,Chequesset,,#N/A,#N/A,7%,Low
WE-60,Doanes Bog Pond, ,No,0.844442493,Wellfleet,Chequesset,,6.5616,shallow,,#N/A
TR-39,Great Swamp Pond, ,No,7.767030578,Truro,Pamet,170833.4591,35,deep,3%,Very Low
TR-38,Village Pond, ,No,2.767300846,Truro,Pamet,,5,shallow,37%,High
PR-28,Clapps Pond, ,Yes - on State List,42.78414191,Provincetown,Pilgrim,,3,shallow,0%,Very Low
PR-1,Grassy Pond, ,No,6.12402819,Provincetown,Pilgrim,,3,shallow,,#N/A
FA-995,Nyes Pond, ,No,6.128546577,Falmouth,Sagamore,,#N/A,#N/A,36%,High
BA-799, , ,No,3.785855901,Barnstable,Sagamore,,#N/A,#N/A,38%,High
BA-795,Lake Elizabeth, ,Yes - on State List,7.147024698,Barnstable,Sagamore,13555.82517,4,shallow,46%,High
YA-722,Mill Pond, ,No,4.198299731,Yarmouth,Sagamore,,5,shallow,19%,Medium
HA-629,Skinequit Pond, ,Yes - on State List,18.06080064,Harwich,Monomoy,380328.1786,32,deep,29%,High
HA-530,West Reservoir, ,Yes - not on State List,72.77042562,Harwich,Monomoy,167864.9895,6,shallow,3%,Very Low
DE-201,Coles Pond, ,Yes - not on State List,11.37375256,Dennis,Monomoy,,5.199999809,shallow,1%,Very Low
PR-26,Duck Pond, ,No,3.715795931,Provincetown,Pilgrim,,3,shallow,5%,Low
PR-25,Clapps Round Pond, ,No,1.667590405,Provincetown,Pilgrim,,3,shallow,,#N/A
PR-20,Little Bennet Pond, ,No,2.584663651,Provincetown,Pilgrim,,3,shallow,1%,Very Low
PR-16,Pasture Pond, ,Yes - not on State List,11.52456044,Provincetown,Pilgrim,,3,shallow,2%,Very Low
FA-981, , ,No,0.437286347,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
FA-1018, , ,No,2.257367139,Falmouth,Sagamore,,#N/A,#N/A,60%,Very High
FA-950, , ,No,0.709499852,Falmouth,Sagamore,,#N/A,#N/A,1%,Very Low
BA-905, , ,No,0.287499734,Barnstable,Sagamore,,#N/A,#N/A,75%,Very High
BA-1039,,,No,0.436617712,Barnstable,Sagamore,,#N/A,#N/A,65%,Very High
FA-803, , ,No,0.902296961,Falmouth,Sagamore,,#N/A,#N/A,7%,Low
FA-1015, , ,No,2.302400469,Falmouth,Sagamore,,#N/A,#N/A,16%,Medium
FA-1013, , ,No,3.730784807,Falmouth,Sagamore,,#N/A,#N/A,23%,Medium
FA-1040,,,No,0.421594388,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
FA-1006, , ,No,0.519933462,Falmouth,Sagamore,,#N/A,#N/A,50%,Very High
MA-1041,,,No,0.258745584,Mashpee,Sagamore,,#N/A,#N/A,87%,Very High
FA-955, , ,No,0.471877141,Falmouth,Sagamore,,#N/A,#N/A,45%,High
FA-930, , ,No,0.241636111,Falmouth,Sagamore,,#N/A,#N/A,9%,Low
FA-923, , ,No,3.289414183,Falmouth,Sagamore,,#N/A,#N/A,15%,Medium
BA-917, , ,No,0.788260261,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BA-862, , ,No,1.483553854,Barnstable,Sagamore,,#N/A,#N/A,75%,Very High
BA-1042,,,No,0.442142082,Barnstable,Sagamore,,#N/A,#N/A,49%,High
DE-1043,,,No,0.515976647,Dennis,Monomoy,,#N/A,#N/A,3%,Very Low
HA-645, , ,No,0.890119963,Harwich,Monomoy,,#N/A,#N/A,14%,Medium
BO-417, , ,No,1.050758102,Bourne,Sagamore,,#N/A,#N/A,,#N/A
CH-378,Bassing Pond, ,No,5.475387817,Chatham,Monomoy,,#N/A,#N/A,1%,Very Low
BO-1044,,,No,0.326018004,Bourne,Plymouth-Carver,,#N/A,#N/A,19%,Medium
FA-1026, , ,No,0.539407182,Falmouth,Sagamore,,#N/A,#N/A,39%,High
FA-1045,,,No,0.775340176,Falmouth,Sagamore,,#N/A,#N/A,66%,Very High
FA-1023, , ,No,0.558793818,Falmouth,Sagamore,,#N/A,#N/A,36%,High
FA-915, , ,No,0.79421738,Falmouth,Sagamore,,#N/A,#N/A,6%,Low
BA-912, , ,No,0.362983901,Barnstable,Sagamore,,#N/A,#N/A,25%,Medium
YA-865, , ,No,3.092285853,Yarmouth,Sagamore,,#N/A,#N/A,15%,Medium
YA-861, , ,No,2.116782625,Yarmouth,Sagamore,,#N/A,#N/A,25%,Medium
DE-713, , ,No,1.169731188,Dennis,Monomoy,,#N/A,#N/A,53%,Very High
DE-702, , ,No,0.276847311,Dennis,Monomoy,,#N/A,#N/A,11%,Medium
CH-1046,,,No,1.67896564,Chatham,Monomoy,,#N/A,#N/A,24%,Medium
BO-1047,,,No,0.999748879,Bourne,Sagamore,,#N/A,#N/A,18%,Medium
OR-291, , ,No,0.27701969,Orleans,Nauset,,#N/A,#N/A,74%,Very High
BO-290, , ,No,0.265807127,Bourne,Plymouth-Carver,,#N/A,#N/A,8%,Low
SA-231, , ,No,1.078643249,Sandwich,Sagamore,,#N/A,#N/A,0%,Very Low
WE-58, , ,No,0.497878629,Wellfleet,Chequesset,,#N/A,#N/A,5%,Very Low
TR-1048,,,No,0.268481028,Truro,Pamet,,#N/A,#N/A,0%,Very Low
TR-44, , ,No,2.179404095,Truro,Pamet,,#N/A,#N/A,,#N/A
FA-1016, , ,No,0.241606453,Falmouth,Sagamore,,#N/A,#N/A,13%,Medium
FA-984, , ,No,1.21514399,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
FA-956, , ,No,4.052857092,Falmouth,Sagamore,,#N/A,#N/A,16%,Medium
FA-943, , ,No,1.123269663,Falmouth,Sagamore,,#N/A,#N/A,11%,Medium
FA-1049,,,No,0.291908531,Falmouth,Sagamore,,#N/A,#N/A,4%,Very Low
FA-898, , ,No,0.694124943,Falmouth,Sagamore,,#N/A,#N/A,26%,High
BA-1050,,,No,0.393269271,Barnstable,Sagamore,,#N/A,#N/A,43%,High
BA-791, , ,No,1.287701265,Barnstable,Sagamore,,#N/A,#N/A,17%,Medium
FA-783,Trout Pond, ,No,2.879127838,Falmouth,Sagamore,,#N/A,#N/A,20%,Medium
DE-725, , ,No,1.521471327,Dennis,Monomoy,,#N/A,#N/A,15%,Medium
DE-1051,,,No,0.565495995,Dennis,Monomoy,,#N/A,#N/A,4%,Very Low
CH-648, , ,No,1.968826609,Chatham,Monomoy,,#N/A,#N/A,12%,Medium
BO-388, , ,No,0.450387275,Bourne,Sagamore,,#N/A,#N/A,43%,High
SA-222, , ,No,0.609982342,Sandwich,Sagamore,,#N/A,#N/A,5%,Low
PR-30, , ,No,1.932154123,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
MA-980, , ,No,0.602655437,Mashpee,Sagamore,,#N/A,#N/A,66%,Very High
MA-953, , ,No,3.807426908,Mashpee,Sagamore,,#N/A,#N/A,13%,Medium
MA-951, , ,No,3.215106006,Mashpee,Sagamore,,#N/A,#N/A,6%,Low
FA-872, , ,No,2.430478885,Falmouth,Sagamore,,#N/A,#N/A,17%,Medium
BA-813, , ,No,2.059370203,Barnstable,Sagamore,,#N/A,#N/A,30%,High
YA-766, , ,No,1.620731015,Yarmouth,Sagamore,,#N/A,#N/A,72%,Very High
YA-763, , ,No,1.455716442,Yarmouth,Sagamore,,#N/A,#N/A,0%,Very Low
DE-724, , ,No,0.582375013,Dennis,Monomoy,,#N/A,#N/A,16%,Medium
CH-656, , ,No,0.328786294,Chatham,Monomoy,,#N/A,#N/A,2%,Very Low
YA-427, , ,No,0.265498612,Yarmouth,Sagamore,,#N/A,#N/A,34%,High
BO-292, , ,No,0.305841046,Bourne,Plymouth-Carver,,#N/A,#N/A,20%,Medium
SA-1052,,,No,0.935548531,Sandwich,Sagamore,,#N/A,#N/A,11%,Medium
SA-1053,,,No,1.942295655,Sandwich,Sagamore,,#N/A,#N/A,1%,Very Low
DE-217, , ,No,0.544276291,Dennis,Monomoy,,#N/A,#N/A,30%,High
OR-114, , ,No,0.343222803,Orleans,Nauset,,#N/A,#N/A,15%,Medium
TR-1054,,,No,0.909392033,Truro,Pamet,,#N/A,#N/A,,#N/A
TR-40, , ,No,0.752835105,Truro,Pamet,,#N/A,#N/A,,#N/A
PR-1055,,,No,0.286340995,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-37, , ,No,6.554268802,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
PR-33, , ,No,0.542173339,Provincetown,Pilgrim,,#N/A,#N/A,40%,High
PR-32, , ,No,1.007725546,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-1056,,,No,1.526258413,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-15, , ,No,0.62957554,Provincetown,Pilgrim,,#N/A,#N/A,16%,Medium
FA-1024, , ,No,0.254936674,Falmouth,Sagamore,,#N/A,#N/A,68%,Very High
MA-965, , ,No,0.315168598,Mashpee,Sagamore,,#N/A,#N/A,100%,Very High
MA-964, , ,No,0.948078366,Mashpee,Sagamore,,#N/A,#N/A,80%,Very High
YA-887, , ,No,0.68294465,Yarmouth,Sagamore,,#N/A,#N/A,19%,Medium
DE-704, , ,No,0.606772334,Dennis,Monomoy,,#N/A,#N/A,8%,Low
YA-423, , ,No,6.935123355,Yarmouth,Sagamore,,#N/A,#N/A,21%,Medium
BA-349, , ,No,0.483584293,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BO-309, , ,No,0.453472574,Bourne,Plymouth-Carver,,#N/A,#N/A,64%,Very High
BO-288, , ,No,0.587444167,Bourne,Plymouth-Carver,,#N/A,#N/A,5%,Very Low
DE-215, , ,No,1.723462802,Dennis,Monomoy,,#N/A,#N/A,1%,Very Low
BO-1057,,,No,1.411135727,Bourne,Plymouth-Carver,,#N/A,#N/A,26%,High
TR-1058,,,No,0.558200016,Truro,Pamet,,#N/A,#N/A,,#N/A
PR-1059,,,No,0.326484536,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
PR-1060,,,No,0.35300272,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-27, , ,No,1.296936375,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-24, , ,No,1.870823403,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-17, , ,No,3.456317788,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
PR-1061,,,No,0.518149678,Provincetown,Pilgrim,,#N/A,#N/A,7%,Low
PR-14, , ,No,2.620046501,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-9,Great Pond, ,Yes - on State List,12.03462273,Provincetown,Pilgrim,,3,shallow,0%,Very Low
BA-881,Lewis Pond, ,No,4.866888614,Barnstable,Sagamore,,13.648128,deep,10%,Low
MA-876,Trout Pond, ,No,5.323852609,Mashpee,Sagamore,,3.543264,shallow,,#N/A
BA-819,Coleman Pond, ,No,9.672669611,Barnstable,Sagamore,,10.17048,shallow,9%,Low
BA-806,Schoolhouse Pond, ,No,3.885844675,Barnstable,Sagamore,,7.87392,shallow,20%,Medium
FA-780,Flax Pond,,No,4.482913168,Falmouth,Sagamore,,4.59312,shallow,27%,High
YA-657,Long Pond, ,Yes - on State List,61.7266997,Yarmouth,Sagamore,1609476.253,30,deep,63%,Very High
DE-597,Fresh Pond, ,Yes - on State List,31.65598701,Dennis,Monomoy,159565.7075,9.199999809,shallow,3%,Very Low
CH-396,Stillwater Pond, ,Yes - on State List,19.52891896,Chatham,Monomoy,709398.6347,51,deep,15%,Medium
YA-371,Tom Matthews Pond,Matthews Pond,Yes - not on State List,35.72861602,Yarmouth,Sagamore,,5,shallow,3%,Very Low
OR-249,Sarahs Pond, ,No,5.904865964,Orleans,Nauset,205621.739,57,deep,7%,Low
BO-219,Nightingale Pond, ,No,7.257302725,Bourne,Plymouth-Carver,,11,shallow,10%,Medium
DE-198,Little Coles Pond, ,No,3.905948286,Dennis,Monomoy,,#N/A,#N/A,7%,Low
EA-103,Herring Pond,Coles Pond,Yes - on State List,45.65358628,Eastham,Nauset,1023240.963,35,deep,31%,High
WE-59,Gull Pond, ,Yes - on State List,108.0520088,Wellfleet,Chequesset,3879403.08,64,deep,9%,Low
WE-57,Higgins Pond, ,Yes - on State List,26.71461643,Wellfleet,Chequesset,,20,deep,2%,Very Low
WE-56,Herring Pond, ,Yes - on State List,18.9254984,Wellfleet,Chequesset,,7,shallow,3%,Very Low
WE-55,Williams Pond, ,No,8.576873307,Wellfleet,Chequesset,,7,shallow,2%,Very Low
TR-53,Slough Pond,Newcombs Pond,Yes - not on State List,30.96160995,Truro,Pamet,456526.9099,25,deep,5%,Low
TR-51,Horseleech Pond,Long Pond,Yes - on State List,24.99594634,Truro,Pamet,,16,deep,5%,Low
PR-22,Bennett Pond, ,No,5.018886417,Provincetown,Pilgrim,,6,shallow,,#N/A
PR-2,Blackwater Pond,Beech Forest,No,5.667715253,Provincetown,Pilgrim,,4,shallow,4%,Very Low
FA-975,Jones Pond, ,Yes - on State List,13.36013475,Falmouth,Sagamore,,#N/A,#N/A,39%,High
FA-845,Wing Pond, ,Yes - on State List,26.99225371,Falmouth,Sagamore,,#N/A,#N/A,20%,Medium
BA-816,North Pond, ,No,4.974345422,Barnstable,Sagamore,,#N/A,#N/A,7%,Low
BA-789,Simmons Pond, ,No,8.082399317,Barnstable,Sagamore,,#N/A,#N/A,16%,Medium
FA-761,Cedar Lake, ,Yes - on State List,20.81775296,Falmouth,Sagamore,,10,shallow,16%,Medium
YA-693,James Pond, ,No,4.899806749,Yarmouth,Sagamore,,30,deep,54%,Very High
OR-176,Pilgrim Lake, ,Yes - on State List,43.74530629,Orleans,Nauset,858471.7557,30,deep,14%,Medium
EA-98,Bridge Pond, ,No,6.726410754,Eastham,Nauset,71336.43316,20,deep,4%,Very Low
EA-95,Great Pond, ,Yes - on State List,113.3504785,Eastham,Nauset,3364266.777,36,deep,20%,Medium
WE-64,Spectacle Pond, ,No,1.685207079,Wellfleet,Chequesset,,25,deep,0%,Very Low
WE-61,Kinnicum Pond,Kinnicums Pond,No,2.776969589,Wellfleet,Chequesset,32836.13156,15,deep,1%,Very Low
TR-54,Ryder Pond,Newcombs Pond,Yes - not on State List,20.48125873,Truro,Pamet,517414.2821,35,deep,8%,Low
TR-52,Snow Pond, ,No,7.439522609,Truro,Pamet,,26,deep,3%,Very Low
TR-50,Round Pond (West), ,No,2.722271892,Truro,Pamet,52701.45029,30,deep,,#N/A
TR-49,Round Pond (East), ,No,7.186092649,Truro,Pamet,96391.75035,34,deep,1%,Very Low
TR-48,Great Pond, ,Yes - on State List,17.64330119,Truro,Pamet,463236.0924,35,deep,7%,Low
FA-970,Sols Pond, ,No,4.413671287,Falmouth,Sagamore,,#N/A,#N/A,27%,High
FA-962,Grews Pond, ,Yes - on State List,14.75585032,Falmouth,Sagamore,328200.414,42,deep,11%,Medium
FA-948,Mill Pond,Robinsons Mill Pond,Yes - on State List,15.49553614,Falmouth,Sagamore,,#N/A,#N/A,33%,High
FA-942,Long Pond, ,Yes - on State List,150.5119078,Falmouth,Sagamore,,11,shallow,3%,Very Low
YA-572,Lily Pond, ,No,3.007021946,Yarmouth,Sagamore,,24,deep,29%,High
YA-540,Cat Swamp Pond, ,No,2.447024706,Yarmouth,Sagamore,,#N/A,#N/A,82%,Very High
YA-478,Miss Thachers Pond, ,No,3.990728868,Yarmouth,Sagamore,,8,shallow,2%,Very Low
BA-391,Mill Pond, ,Yes - not on State List,15.69160317,Barnstable,Sagamore,,5,shallow,1%,Very Low
EA-86,Pennys Pond, ,No,0.781545393,Eastham,Nauset,,#N/A,#N/A,28%,High
FA-993,Miles Pond, ,No,7.112502906,Falmouth,Sagamore,,11.97492,shallow,10%,Medium
BA-820,Sam Pond, ,No,5.665905442,Barnstable,Sagamore,,#N/A,#N/A,24%,Medium
BA-807,Joshua Pond, ,Yes - not on State List,15.56588697,Barnstable,Sagamore,222500.9224,25,deep,8%,Low
YA-700,West Sandy Pond,Little Sandy Pond,Yes - on State List,14.39645255,Yarmouth,Sagamore,,#N/A,#N/A,1%,Very Low
HA-579,Grass Pond, ,Yes - not on State List,28.46228674,Harwich,Monomoy,,3,shallow,1%,Very Low
DE-236,Scargo Lake, ,Yes - on State List,60.95044662,Dennis,Monomoy,2101996.502,48,deep,27%,High
OR-142,Uncle Harveys Pond, ,No,6.671347546,Orleans,Nauset,,22.30944,deep,20%,Medium
EA-101,Widow Harding Pond, ,No,9.0894921,Eastham,Nauset,55234.68762,13,deep,8%,Low
EA-100,Jemima Pond, ,No,6.526847918,Eastham,Nauset,57279.05127,15,deep,25%,Medium
EA-97,Deborahs Pond, ,No,3.562653287,Eastham,Nauset,,7.87392,shallow,16%,Medium
WE-68,Southeast Pond, ,No,2.785830005,Wellfleet,Chequesset,,13,deep,2%,Very Low
WE-67,Great Pond, ,Yes - on State List,43.99957843,Wellfleet,Chequesset,,56,deep,4%,Very Low
FA-958,Angel Mirror Pond, ,No,2.895502808,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
FA-893,Crocker Pond, ,No,8.059256379,Falmouth,Sagamore,,29.5272,deep,37%,High
BA-797,Micah Pond, ,Yes - not on State List,15.94814222,Barnstable,Sagamore,402238.4551,41,deep,2%,Very Low
YA-569,Flax Pond, ,Yes - on State List,9.513300007,Yarmouth,Sagamore,,20,deep,4%,Very Low
CH-428,Lovers Lake, ,Yes - on State List,37.64982032,Chatham,Monomoy,704003.2654,36,deep,24%,Medium
BR-179,Cobbs Pond, ,Yes - on State List,23.41537473,Brewster,Monomoy,,12,shallow,15%,Medium
EA-102,Muddy Pond, ,Yes - not on State List,10.24263523,Eastham,Nauset,18623.81466,5,shallow,12%,Medium
EA-99,Little Depot Pond, ,No,2.131939306,Eastham,Nauset,,10,shallow,13%,Medium
EA-96,Depot Pond, ,Yes - on State List,28.83805327,Eastham,Nauset,614726.4621,35,deep,28%,High
WE-76,Duck Pond, ,Yes - on State List,12.95285416,Wellfleet,Chequesset,575313.2473,56,deep,2%,Very Low
WE-74,Grass Pond, ,No,0.957915063,Wellfleet,Chequesset,,0.65616,shallow,,#N/A
WE-71,Dyer Pond, ,Yes - not on State List,11.77403477,Wellfleet,Chequesset,260836.7358,36,deep,3%,Very Low
WE-70,Turtle Pond, ,No,3.900807359,Wellfleet,Chequesset,,7,shallow,3%,Very Low
WE-66,Northeast Pond, ,No,3.984534268,Wellfleet,Chequesset,,11.81088,shallow,1%,Very Low
WE-65,Long Pond, ,Yes - on State List,36.88476503,Wellfleet,Chequesset,1578677.743,50,deep,10%,Low
YA-716,Jabez Neds Pond,Seine Pond,No,7.760847171,Yarmouth,Sagamore,,20,deep,37%,High
BO-644,Red Brook Pond, ,Yes - not on State List,17.46777807,Bourne,Sagamore,,10,shallow,20%,Medium
PR-1062,,,No,0.38267089,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
PR-7, , ,No,1.20987796,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-6, , ,No,4.381478949,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
PR-5, , ,No,2.401232044,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-3, , ,No,1.303410197,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-1063,,,No,2.756584543,Provincetown,Pilgrim,,#N/A,#N/A,0%,Very Low
PR-1064,,,No,0.399326057,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
FA-997, , ,No,0.262484716,Falmouth,Sagamore,,#N/A,#N/A,34%,High
MA-1065,,,No,0.254128225,Mashpee,Sagamore,,#N/A,#N/A,68%,Very High
MA-961, , ,No,0.284085509,Mashpee,Sagamore,,#N/A,#N/A,59%,Very High
MA-1066,,,No,0.280363295,Mashpee,Sagamore,,#N/A,#N/A,66%,Very High
BA-1067,,,No,0.809639621,Barnstable,Sagamore,,#N/A,#N/A,4%,Very Low
YA-889, , ,No,0.7594834,Yarmouth,Sagamore,,#N/A,#N/A,14%,Medium
FA-776, , ,No,0.63160484,Falmouth,Sagamore,,#N/A,#N/A,14%,Medium
HA-1068,,,No,0.763046448,Harwich,Monomoy,,#N/A,#N/A,,#N/A
YA-505, , ,No,2.207914368,Yarmouth,Sagamore,,#N/A,#N/A,22%,Medium
BA-410, , ,No,0.347420968,Barnstable,Sagamore,,#N/A,#N/A,19%,Medium
SA-1069,,,No,0.959255886,Sandwich,Sagamore,,#N/A,#N/A,25%,Medium
SA-1070,,,No,0.336804313,Sandwich,Sagamore,,#N/A,#N/A,36%,High
BO-220, , ,No,0.434614573,Bourne,Plymouth-Carver,,#N/A,#N/A,42%,High
OR-199, , ,No,0.245605127,Orleans,Nauset,,#N/A,#N/A,69%,Very High
BR-195, , ,No,0.381832081,Brewster,Monomoy,,#N/A,#N/A,0%,Very Low
PR-12, , ,No,1.860037543,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-10, , ,No,1.313431495,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
PR-11, , ,No,0.966274789,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
FA-1012, , ,No,2.033147996,Falmouth,Sagamore,,#N/A,#N/A,24%,Medium
FA-1071,,,No,0.430147109,Falmouth,Sagamore,,#N/A,#N/A,14%,Medium
FA-934, , ,No,0.552455054,Falmouth,Sagamore,,#N/A,#N/A,60%,Very High
FA-1072,,,No,0.323137452,Falmouth,Sagamore,,#N/A,#N/A,46%,High
FA-921, , ,No,0.819644279,Falmouth,Sagamore,,#N/A,#N/A,41%,High
SA-216, , ,No,1.634290774,Sandwich,Sagamore,,#N/A,#N/A,5%,Very Low
BO-190, , ,No,4.849269989,Bourne,Plymouth-Carver,,#N/A,#N/A,26%,High
OR-152, , ,No,0.729902192,Orleans,Nauset,,#N/A,#N/A,0%,Very Low
OR-1073,,,No,1.095025073,Orleans,Nauset,,#N/A,#N/A,22%,Medium
WE-79, , ,No,1.018457745,Wellfleet,Chequesset,,#N/A,#N/A,1%,Very Low
WE-63, , ,No,0.476159718,Wellfleet,Chequesset,,#N/A,#N/A,,#N/A
TR-46, , ,No,1.178420001,Truro,Pamet,,#N/A,#N/A,67%,Very High
PR-1074,,,No,3.66513597,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
BA-825, , ,No,2.299601214,Barnstable,Sagamore,,#N/A,#N/A,27%,High
YA-729, , ,No,0.363293329,Yarmouth,Sagamore,,#N/A,#N/A,29%,High
YA-721, , ,No,0.655718653,Yarmouth,Sagamore,,#N/A,#N/A,,#N/A
YA-698, , ,No,0.833854373,Yarmouth,Sagamore,,#N/A,#N/A,29%,High
BO-674, , ,No,0.5911121,Bourne,Sagamore,,#N/A,#N/A,6%,Low
CH-563, , ,No,0.817612024,Chatham,Monomoy,,#N/A,#N/A,82%,Very High
YA-468, , ,No,2.020204945,Yarmouth,Sagamore,,#N/A,#N/A,11%,Medium
YA-385,Perera Pond, ,No,0.518712405,Yarmouth,Sagamore,,#N/A,#N/A,69%,Very High
HA-1075,,,No,0.268106691,Harwich,Monomoy,,#N/A,#N/A,4%,Very Low
BR-252, , ,No,3.529131862,Brewster,Monomoy,,#N/A,#N/A,14%,Medium
FA-1022, , ,No,9.478076972,Falmouth,Sagamore,,#N/A,#N/A,18%,Medium
MA-1076,,,No,0.270685952,Mashpee,Sagamore,,#N/A,#N/A,54%,Very High
FA-978, , ,No,0.340489876,Falmouth,Sagamore,,#N/A,#N/A,71%,Very High
MA-1077,,,No,0.580688755,Mashpee,Sagamore,,#N/A,#N/A,70%,Very High
MA-1078,,,No,0.816761397,Mashpee,Sagamore,,#N/A,#N/A,44%,High
BA-750,Filends Pond, ,No,5.45210336,Barnstable,Sagamore,,#N/A,#N/A,9%,Low
YA-1079,,,No,0.507602205,Yarmouth,Sagamore,,#N/A,#N/A,1%,Very Low
YA-728, , ,No,4.20826436,Yarmouth,Sagamore,,#N/A,#N/A,20%,Medium
CH-589, , ,No,2.032399213,Chatham,Monomoy,,#N/A,#N/A,10%,Medium
BA-426, , ,No,1.351535901,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
