CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
OR-131, , ,No,1.966604411,Orleans,Nauset,,#N/A,#N/A,2%,Very Low
MA-894, , ,No,0.265759926,Mashpee,Sagamore,,#N/A,#N/A,40%,High
BA-710, , ,No,0.276699854,Barnstable,Sagamore,,#N/A,#N/A,34%,High
BA-1130,,,No,1.792215058,Barnstable,Sagamore,,#N/A,#N/A,67%,Very High
BA-696, , ,No,1.728175165,Barnstable,Sagamore,,#N/A,#N/A,79%,Very High
BA-690, , ,No,0.977926195,Barnstable,Sagamore,,#N/A,#N/A,56%,Very High
BA-621, , ,No,0.648080661,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
BA-595, , ,No,0.287092904,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
HA-537, , ,No,0.343371251,Harwich,Monomoy,,#N/A,#N/A,96%,Very High
HA-461, , ,No,0.449437486,Harwich,Monomoy,,#N/A,#N/A,1%,Very Low
HA-1131,,,No,0.331999468,Harwich,Monomoy,,#N/A,#N/A,36%,High
HA-434, , ,No,0.275471035,Harwich,Monomoy,,#N/A,#N/A,8%,Low
HA-403, , ,No,1.415807714,Harwich,Monomoy,,#N/A,#N/A,3%,Very Low
BR-317, , ,No,0.852554063,Brewster,Monomoy,,#N/A,#N/A,7%,Low
FA-902, , ,No,0.3330198,Falmouth,Sagamore,,#N/A,#N/A,3%,Very Low
MA-899, , ,No,0.779238405,Mashpee,Sagamore,,#N/A,#N/A,4%,Very Low
MA-837, , ,No,0.349044126,Mashpee,Sagamore,,#N/A,#N/A,62%,Very High
BA-735, , ,No,1.430309129,Barnstable,Sagamore,,#N/A,#N/A,15%,Medium
BA-708, , ,No,1.754502939,Barnstable,Sagamore,,#N/A,#N/A,12%,Medium
BA-662, , ,No,4.663441317,Barnstable,Sagamore,,#N/A,#N/A,22%,Medium
BA-1132,,,No,0.251285149,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
HA-1133,,,No,0.569126825,Harwich,Monomoy,,#N/A,#N/A,,#N/A
HA-1134,,,No,0.383812809,Harwich,Monomoy,,#N/A,#N/A,,#N/A
HA-374, , ,No,0.243095321,Harwich,Monomoy,,#N/A,#N/A,,#N/A
HA-1135,,,No,0.857025922,Harwich,Monomoy,,#N/A,#N/A,,#N/A
BR-273, , ,No,0.851773624,Brewster,Monomoy,,#N/A,#N/A,7%,Low
BR-266, , ,No,0.25616772,Brewster,Monomoy,,#N/A,#N/A,,#N/A
FA-1136,,,No,0.405832848,Falmouth,Sagamore,,#N/A,#N/A,82%,Very High
MA-900, , ,No,0.493290618,Mashpee,Sagamore,,#N/A,#N/A,7%,Low
BA-726, , ,No,0.672527211,Barnstable,Sagamore,,#N/A,#N/A,2%,Very Low
BA-707, , ,No,0.629569806,Barnstable,Sagamore,,#N/A,#N/A,55%,Very High
BA-680, , ,No,0.84885401,Barnstable,Sagamore,,#N/A,#N/A,7%,Low
BA-663, , ,No,0.868064754,Barnstable,Sagamore,,#N/A,#N/A,23%,Medium
BA-655, , ,No,2.182781015,Barnstable,Sagamore,,#N/A,#N/A,18%,Medium
FA-910, , ,No,0.44799205,Falmouth,Sagamore,,#N/A,#N/A,6%,Low
BA-712, , ,No,0.387972042,Barnstable,Sagamore,,#N/A,#N/A,46%,High
BA-623, , ,No,0.699939685,Barnstable,Sagamore,,#N/A,#N/A,58%,Very High
BA-613, , ,No,1.133691532,Barnstable,Sagamore,,#N/A,#N/A,33%,High
YA-1137,,,No,0.971819937,Yarmouth,Sagamore,,#N/A,#N/A,36%,High
FA-967, , ,No,0.265196036,Falmouth,Sagamore,,#N/A,#N/A,1%,Very Low
BA-1138,,,No,0.254232739,Barnstable,Sagamore,,#N/A,#N/A,10%,Low
FA-1139,,,No,0.345177663,Falmouth,Sagamore,,#N/A,#N/A,26%,High
BA-1140,,,No,0.260611023,Barnstable,Sagamore,,#N/A,#N/A,55%,Very High
BR-1141,,,No,0.280213534,Brewster,Monomoy,,#N/A,#N/A,4%,Very Low
MA-1142,,,No,0.247321841,Mashpee,Sagamore,,#N/A,#N/A,8%,Low
FA-836, , ,No,1.096318973,Falmouth,Sagamore,,#N/A,#N/A,0%,Very Low
SA-1143,,,No,0.501312102,Sandwich,Sagamore,,#N/A,#N/A,8%,Low
BR-193, , ,No,0.285523199,Brewster,Monomoy,,#N/A,#N/A,33%,High
OR-133, , ,No,0.673197906,Orleans,Nauset,,#N/A,#N/A,,#N/A
FA-858, , ,No,3.192351239,Falmouth,Sagamore,,#N/A,#N/A,0%,Very Low
MA-851, , ,No,0.411564235,Mashpee,Sagamore,,#N/A,#N/A,87%,Very High
YA-609, , ,No,0.680971587,Yarmouth,Sagamore,,#N/A,#N/A,89%,Very High
FA-1144,,,No,0.618677691,Falmouth,Sagamore,,#N/A,#N/A,66%,Very High
MA-1145,,,No,0.699839189,Mashpee,Sagamore,,#N/A,#N/A,11%,Medium
BA-665, , ,No,0.605375119,Barnstable,Sagamore,,#N/A,#N/A,18%,Medium
BA-1146,,,No,0.352558006,Barnstable,Sagamore,,#N/A,#N/A,14%,Medium
BO-547, , ,No,0.462216409,Bourne,Sagamore,,#N/A,#N/A,42%,High
SA-283, , ,No,0.440034538,Sandwich,Sagamore,,#N/A,#N/A,7%,Low
FA-966, , ,No,0.302645941,Falmouth,Sagamore,,#N/A,#N/A,67%,Very High
MA-1147,,,No,0.287782552,Mashpee,Sagamore,,#N/A,#N/A,81%,Very High
MA-848, , ,No,2.411661416,Mashpee,Sagamore,,#N/A,#N/A,9%,Low
FA-834, , ,No,3.62029746,Falmouth,Sagamore,,#N/A,#N/A,4%,Very Low
BO-607, , ,No,0.292770173,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
FA-1148,,,No,0.644070157,Falmouth,Sagamore,,#N/A,#N/A,78%,Very High
MA-1149,,,No,0.232121289,Mashpee,Sagamore,,#N/A,#N/A,80%,Very High
MA-796, , ,No,0.675708595,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
MA-794, , ,No,0.733513827,Mashpee,Sagamore,,#N/A,#N/A,0%,Very Low
BA-676, , ,No,1.19276313,Barnstable,Sagamore,,#N/A,#N/A,55%,Very High
BA-672, , ,No,1.189660577,Barnstable,Sagamore,,#N/A,#N/A,0%,Very Low
BA-632, , ,No,0.958051161,Barnstable,Sagamore,,#N/A,#N/A,25%,High
BA-542,Sandy Hill Pond, ,No,6.95892602,Barnstable,Sagamore,,#N/A,#N/A,7%,Low
BO-302,Deep Bottom Pond, ,No,1.423155972,Bourne,Plymouth-Carver,,#N/A,#N/A,2%,Very Low
BO-343,Donnely Pond, ,No,2.191074381,Bourne,Plymouth-Carver,,#N/A,#N/A,1%,Very Low
OR-113,Ice House Pond, ,No,5.553304007,Orleans,Nauset,,21.16116,deep,20%,Medium
BO-578,Fish and Game Pond (South), ,Yes - not on State List,10.80642826,Bourne,Plymouth-Carver,,2.62464,shallow,4%,Very Low
BO-337,Little Halfway Pond, ,No,0.783959162,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
OR-123,Reubens Pond, ,No,1.125472668,Orleans,Nauset,2727.269234,5,shallow,6%,Low
BO-753,Spit Pond, ,No,0.667453886,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
BA-564,Little Pond, ,No,9.816815733,Barnstable,Sagamore,,3.871344,shallow,8%,Low
BO-560,Fish and Game Pond (North), ,No,7.923195133,Bourne,Plymouth-Carver,,#N/A,#N/A,3%,Very Low
OR-129,Critchetts Pond,Duck,No,1.189130635,Orleans,Nauset,,1.082664,shallow,40%,High
FA-986,Two Ponds (South), ,No,0.719065373,Falmouth,Sagamore,,#N/A,#N/A,10%,Medium
